File created:13/08/2025 18:22:43
WG assessment year:2025
Data year:2024
Stock:whb.27.1-91214,Stock description:Blue whiting (Micromesistius poutassou) in Subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)
Allocation scheme:whb2024_alloc_scheme,whb 2024 data - wgwide2025

LIST OF UNSAMPLED STRATA AND THEIR ALLOCATED SAMPLED STRATA.

YOU CAN USE THIS FILE TO HAVE A MATRIX OVERVIEW OF WHAT SAMPLED STRATA HAVE BEEN ALLOCATED TO WHICH UNSAMPLED STRATA

There are 4 files:
        - 2 specifying what is allocated to the unsampled LANDINGS
            - 1 sorted by Fleet before season 
            - 1 sorted by season before Fleet 
        - 2 specifying what is allocated to the unsampled DISCARDS
            - 1 sorted by Fleet before season
            - 1 sorted by season  before Fleet 

The patterns which visually can be seen in the allocations depend the sorting of the element (season or fleet) in the strata, depending on if the allocations have been primarily done according to season or fleet.


   Explanation on how to use the output, for visual inspection:
     1. Copy all the data into a spreadsheet.
     2. Create a pivot table with the Unsampled as rows and the Sampled as columns.
     3. Copy the pivot table but only with the header row and markers, out the sum row and column and column label.
     4. Paste only values.\n
     5. Select the Sampled row and format cell and select tab Alignment and align the text horizontal and adjust the column width.
          

Unsampled Landings strata,Allocated sampled strata,Marker
ES_27.8.a_OTB_DEF_>=70_0_0_2_L,ES_27.8.a_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.a_OTB_DEF_>=70_0_0_3_L,ES_27.8.a_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.a_OTB_DEF_>=70_0_0_4_L,ES_27.8.a_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.a_PTB_DEF_>=70_0_0_1_L,ES_27.8.a_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.a_PTB_DEF_>=70_0_0_2_L,ES_27.8.a_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.a_PTB_DEF_>=70_0_0_3_L,ES_27.8.a_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.a_PTB_DEF_>=70_0_0_4_L,ES_27.8.a_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_MCF_>=70_0_0_1_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_MPD_>=70_0_0_1_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_1_L,ES_27.8.b_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_2_L,ES_27.8.b_OTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_2_L,ES_27.8.b_OTB_MPD_>=70_0_0_2_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_2_L,ES_27.8.b_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_4_L,ES_27.8.b_OTB_MCF_>=70_0_0_4_D,X
ES_27.8.b_GNS_DEF_60-79_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_MCF_>=70_0_0_1_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_1_L,ES_27.8.b_OTB_MPD_>=70_0_0_1_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_1_L,ES_27.8.b_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_2_L,ES_27.8.b_OTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_2_L,ES_27.8.b_OTB_MPD_>=70_0_0_2_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_2_L,ES_27.8.b_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_4_L,ES_27.8.b_OTB_MCF_>=70_0_0_4_D,X
ES_27.8.b_GTR_DEF_60-79_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_LHM_SPF_0_0_0_1_L,ES_27.8.b_OTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_LHM_SPF_0_0_0_1_L,ES_27.8.b_OTB_MCF_>=70_0_0_1_D,X
ES_27.8.b_LHM_SPF_0_0_0_1_L,ES_27.8.b_OTB_MPD_>=70_0_0_1_D,X
ES_27.8.b_LHM_SPF_0_0_0_1_L,ES_27.8.b_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_LHM_SPF_0_0_0_2_L,ES_27.8.b_OTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_LHM_SPF_0_0_0_2_L,ES_27.8.b_OTB_MPD_>=70_0_0_2_D,X
ES_27.8.b_LHM_SPF_0_0_0_2_L,ES_27.8.b_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_LHM_SPF_0_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_LHM_SPF_0_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_LHM_SPF_0_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_LHM_SPF_0_0_0_4_L,ES_27.8.b_OTB_MCF_>=70_0_0_4_D,X
ES_27.8.b_LHM_SPF_0_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_LLS_DEF_0_0_0_1_L,ES_27.8.b_OTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_LLS_DEF_0_0_0_1_L,ES_27.8.b_OTB_MCF_>=70_0_0_1_D,X
ES_27.8.b_LLS_DEF_0_0_0_1_L,ES_27.8.b_OTB_MPD_>=70_0_0_1_D,X
ES_27.8.b_LLS_DEF_0_0_0_1_L,ES_27.8.b_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_LLS_DEF_0_0_0_2_L,ES_27.8.b_OTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_LLS_DEF_0_0_0_2_L,ES_27.8.b_OTB_MPD_>=70_0_0_2_D,X
ES_27.8.b_LLS_DEF_0_0_0_2_L,ES_27.8.b_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_LLS_DEF_0_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_LLS_DEF_0_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_LLS_DEF_0_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_LLS_DEF_0_0_0_4_L,ES_27.8.b_OTB_MCF_>=70_0_0_4_D,X
ES_27.8.b_LLS_DEF_0_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_OTB_DEF_>=70_0_0_1_L,ES_27.8.b_OTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_OTB_DEF_>=70_0_0_2_L,ES_27.8.b_OTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_OTB_DEF_>=70_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_OTB_DEF_>=70_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_1_L,ES_27.8.b_OTB_MPD_>=70_0_0_1_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_2_L,ES_27.8.b_OTB_MPD_>=70_0_0_2_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_3_L,ES_27.8.b_OTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_4_L,ES_27.8.b_OTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_4_L,ES_27.8.b_OTB_MCF_>=70_0_0_4_D,X
ES_27.8.b_OTB_MPD_>=70_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.b_PTB_DEF_>=70_0_0_1_L,ES_27.8.b_PTB_DEF_>=70_0_0_1_D,X
ES_27.8.b_PTB_DEF_>=70_0_0_2_L,ES_27.8.b_PTB_DEF_>=70_0_0_2_D,X
ES_27.8.b_PTB_DEF_>=70_0_0_3_L,ES_27.8.b_PTB_DEF_>=70_0_0_3_D,X
ES_27.8.b_PTB_DEF_>=70_0_0_4_L,ES_27.8.b_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_GNS_DEF_80-99_0_0_1_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_LLS_DEF_0_0_0_1_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_GNS_DEF_80-99_0_0_2_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_LLS_DEF_0_0_0_2_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_GNS_DEF_80-99_0_0_3_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_LLS_DEF_0_0_0_3_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_LLS_DEF_0_0_0_4_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_GNS_DEF_60-79_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_GNS_DEF_80-99_0_0_1_L,ES_27.8.c_GNS_DEF_80-99_0_0_1_D,X
ES_27.8.c_GNS_DEF_80-99_0_0_2_L,ES_27.8.c_GNS_DEF_80-99_0_0_2_D,X
ES_27.8.c_GNS_DEF_80-99_0_0_3_L,ES_27.8.c_GNS_DEF_80-99_0_0_3_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_GNS_DEF_80-99_0_0_1_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_LLS_DEF_0_0_0_1_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_GNS_DEF_80-99_0_0_2_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_LLS_DEF_0_0_0_2_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_GNS_DEF_80-99_0_0_3_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_LLS_DEF_0_0_0_3_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_LLS_DEF_0_0_0_4_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_GTR_DEF_60-79_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_GNS_DEF_80-99_0_0_1_D,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_LLS_DEF_0_0_0_1_L,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_L,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_D,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_LHM_DEF_0_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_GNS_DEF_80-99_0_0_2_D,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_LLS_DEF_0_0_0_2_L,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_D,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_OTB_DEF_>=55_0_0_2_L,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_OTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_L,X
ES_27.8.c_LHM_DEF_0_0_0_2_L,ES_27.8.c_PTB_MPD_>=55_0_0_2_D,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_GNS_DEF_80-99_0_0_3_D,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_LLS_DEF_0_0_0_3_L,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_L,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_OTB_DEF_>=55_0_0_3_D,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_OTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_D,X
ES_27.8.c_LHM_DEF_0_0_0_3_L,ES_27.8.c_PTB_MPD_>=55_0_0_3_L,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_D,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_GNS_DEF_80-99_0_0_4_L,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_LLS_DEF_0_0_0_4_L,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_D,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_OTB_DEF_>=55_0_0_4_L,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_OTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_D,X
ES_27.8.c_LHM_DEF_0_0_0_4_L,ES_27.8.c_PTB_MPD_>=55_0_0_4_L,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_GNS_DEF_80-99_0_0_1_D,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_LLS_DEF_0_0_0_1_L,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_D,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_OTB_DEF_>=55_0_0_1_L,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_D,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_OTB_MPD_>=55_0_0_1_L,X
ES_27.8.c_LHM_SPF_0_0_0_1_L,ES_27.8.c_PTB_MPD_>=55_0_0_1_D,X
